acpid 2.0.32-2
aircrack-ng 1.6-3
alsa-utils 1.2.4-2
arandr 0.1.10-5
arch-wiki-lite 20200527-1
archlinux-lxdm-theme-full 0.1-1
archlinux-themes-sddm 2.0-1
aria2 1.35.0-2
audacity 1:2.4.1-4
autoconf 2.69-7
automake 1.16.2-3
awesome 4.3-2
bash 5.0.018-2
binutils 2.35.1-1
binwalk 2.2.0-4
bison 3.7.2-1
blackarch-config-awesome 46.e38ba92-1
blackarch-keyring 20180925-2
burpsuite 1:2020.11.3-1
bzip2 1.0.8-4
checksec 2.4.0-1
chromium 87.0.4280.88-1
cifs-utils 6.11-1
code 1.51.1-1
connman 1.38-1
coreutils 8.32-1
cryptsetup 2.3.4-1
device-mapper 2.02.187-3
dhcpcd 9.3.4-1
dialog 1:1.3_20201126-1
diffutils 3.7-3
discord 0.0.13-1
docker 1:19.03.14-1
docker-compose 1.27.4-2
dosfstools 4.1-3
e2fsprogs 1.45.6-3
evince 3.38.0+1+gffa3fd98-1
fakeroot 1.25.3-1
fcitx 4.2.9.8-1
fcitx-configtool 0.4.10-4
fcitx-mozc 2.25.4150.102-2
fcitx-qt4 4.2.9.6-1
fcitx-qt5 1.2.5-3
fcrackzip 1.0-6
file 5.39-1
filesystem 2020.09.03-1
findutils 4.7.0-2
firefox 83.0-2
firefox-i18n-ja 83.0-1
flex 2.6.4-3
foremost 1.5.7-4
fprintd 1.90.1-1
gawk 5.1.0-1
gcc 10.2.0-4
gcc-libs 10.2.0-4
gcc7 7.5.0-2
gcc7-fortran 7.5.0-2
gedit 3.38.1-1
gettext 0.21-1
gimp 2.10.22-1
git 2.29.2-1
gksu 2.0.2-7
glibc 2.32-5
gmp-ecm 7.0.4-3
gnu-netcat 0.7.1-8
gnuplot 5.4.0-5
gparted 1.1.0-1
gpointing-device-settings 1.5.1-5
graphviz 2.44.1-6
grep 3.6-1
groff 1.22.4-3
grub 2:2.04-8
gvim 8.2.1989-3
gzip 1.10-3
heroku-cli 7.43.0-1
